"id","Value","area","ratio","rValue"
1,46760.765625,0.000455934971218519,0.0072949595394963,341.117893270245
2,228881.625,0.00956878091280986,0.153100494604958,35041.8899934865
3,300520.34375,0.00645583281069416,0.103293324971107,31041.7455273974
4,5009117,0.000494266406416862,0.0079082625026698,39613.4121425858
5,2386937.25,0.0546782959877744,0.874852735804391,2088218.58335591
6,687736.25,0.0624999999999996,0.999999999999993,687736.249999995
7,798617.75,0.0614484969429595,0.983175951087353,785181.765911492
8,412534.09375,0.033167735867422,0.530683773878753,218925.149724901
9,6888982.5,0.0134816005738484,0.215705609181574,1485992.1668037
10,10313229,0.0539683444724161,0.863493511558658,8905406.32471859
11,4184599,0.0625,1,4184599
12,634030.25,0.0624999999999996,0.999999999999993,634030.249999995
13,486780.96875,0.0625,1,486780.96875
14,299307.625,0.0594017492221374,0.950427987554198,284470.343688377
15,241388.1875,0.00265945087776307,0.0425512140442091,10271.3604340562
16,1776245.25,0.00587553795308611,0.0940086072493777,166982.342085823
17,1605452.375,0.0266231912384456,0.42597105981513,683876.249661467
18,1271126,0.0273820792538903,0.438113268062246,556897.16597889
19,552249.5,0.0624974753764711,0.999959606023537,552227.192446695
20,362172.25,0.0625,1,362172.25
21,387105.9375,0.0219311967647859,0.350899148236574,135835.143746071
22,1145759,0.0188088028331799,0.300940845330879,344805.682005462
23,617313.375,0.0511226676189322,0.817962681902915,504939.30378954
24,458948.78125,0.0534233924992266,0.854774279987626,392297.614044167
25,545160.125,0.0019774087421674,0.0316385398746784,17248.0703528971
26,240853.421875,1.14838525100116e-06,1.83741640160186e-05,4.42548027735058
27,259891.453125,0.00180579426358987,0.028892708217438,7508.96792334659
