"id","Value","area","ratio","rValue"
1,44248.71875,0.0233262007993139,0.373219212789022,16514.4719787978
2,4965.421875,0.0376681572064306,0.60269051530289,2992.61266853999
3,6335.19287109375,0.00584430137564823,0.0935088220103717,592.396422584481
4,26370.1171875,0.033328761048274,0.533260176772384,14062.1333529147
5,58030.2265625,0.061963072938468,0.991409167015488,57531.6985780482
6,37035.5546875,0.0615349175664105,0.984558681062568,36463.6768755456
7,1160,0.0368261824235984,0.589218918777575,683.493945781987
8,4930,0.00100027889593435,0.0160044623349496,78.9019993113013
9,373633.71875,0.000549644951153311,0.00879431921845298,3285.85419346518
10,160960.453125,0.0194213586495774,0.310741738393238,50017.1310166258
11,24533.10546875,0.0610734070506099,0.977174512809758,23973.1253841362
12,14389.6103515625,0.0625,1,14389.6103515625
13,12470,0.0625,1,12470
14,62784.99609375,0.0560044202267363,0.896070723627781,56259.796882694
15,35775.828125,0.0534927773569098,0.855884437710557,30619.9745383952
16,8541.0771484375,0.00991920922729436,0.15870734763671,1355.53170018903
17,705636.1875,0.0218673088502646,0.349876941604233,246885.831167771
18,1419310.625,0.0625,1,1419310.625
19,1007937.875,0.0625,1,1007937.875
20,332624.28125,0.0625,1,332624.28125
21,175008.9375,0.0625,1,175008.9375
22,250867.125,0.0625,1,250867.125
23,333670.3125,0.0625,1,333670.3125
24,49706.4296875,0.0613614493539102,0.981783189662564,48800.9370853317
25,19053.115234375,0.0263639195594905,0.421822712951848,8037.03675834824
26,2557028,0.000213498054281033,0.00341596886849653,8734.72804387395
27,2002077.5,0.0534267567785344,0.854828108456551,1711432.12230842
28,2690489.25,0.0625,1,2690489.25
29,2401221.5,0.0625,1,2401221.5
30,1188628.5,0.0625,1,1188628.5
31,374569.5,0.0625,1,374569.5
32,891412.4375,0.0625,1,891412.4375
33,436651.84375,0.0625,1,436651.84375
34,818754.125,0.0625,1,818754.125
35,674330.75,0.0381372203627021,0.610195525803234,411473.606561539
36,6980488.5,0.00208877894648635,0.0334204631437816,233291.158639841
37,5479853.5,0.025815003783181,0.413040060530895,2263399.02134044
38,4687027,0.0279180585454131,0.44668893672661,2093643.10703891
39,2689726.5,0.0625,1,2689726.5
40,3346256,0.0625,1,3346256
41,2622016.5,0.0625,1,2622016.5
42,2500036.5,0.0625,1,2500036.5
43,1453496.625,0.0625,1,1453496.625
44,814266.1875,0.0625,1,814266.1875
45,208847.796875,0.0576694374378988,0.922710999006382,192706.159294813
46,171083.53125,0.0305702060038604,0.489123296061767,83680.9407068864
47,58930.61328125,0.0232778599301396,0.372445758882233,21948.4569849306
48,5852070.5,0.0121830547236497,0.194928875578395,1140737.5223705
49,5983522.5,0.0623898295755871,0.998237273209393,5972975.18458705
50,4747530.5,0.0625,1,4747530.5
51,4098198.5,0.0625,1,4098198.5
52,3399263.25,0.0624330983573579,0.998929573717726,3395624.58927683
53,816711.875,0.0551392446784007,0.882227914854411,720526.014518086
54,530613.1875,0.0476877925138559,0.763004680221695,404860.345449852
55,133027.140625,0.039343152744031,0.629490443904496,83739.3138033771
56,39558.0703125,0.0399583507680071,0.639333612288113,25290.8039880378
57,172800.078125,0.00934192485209578,0.149470797633532,25828.5655084805
58,6149269,0.00505423175211749,0.0808677080338799,497277.290113788
59,6976740,0.0372865560685615,0.596584897096984,4162217.71497241
60,7741856,0.0155552421037884,0.248883873660615,1926823.11060267
